Campeonato: French Ligue 1 2025/26 | Rodada 13 | Data: 2025-11-22 | Horário: 21:05 | Jogo: Paris Saint-Germain FC vs Le Havre AC
Campeonato: French Ligue 1 2025/26 | Rodada 13 | Data: 2025-11-23 | Horário: 15:00 | Jogo: AJ Auxerre vs Olympique Lyonnais
Campeonato: French Ligue 1 2025/26 | Rodada 13 | Data: 2025-11-23 | Horário: 17:15 | Jogo: FC Nantes vs FC Lorient
Campeonato: French Ligue 1 2025/26 | Rodada 13 | Data: 2025-11-23 | Horário: 17:15 | Jogo: Toulouse FC vs Angers SCO
Campeonato: French Ligue 1 2025/26 | Rodada 13 | Data: 2025-11-23 | Horário: 17:15 | Jogo: Stade Brestois 29 vs FC Metz
Campeonato: French Ligue 1 2025/26 | Rodada 13 | Data: 2025-11-23 | Horário: 20:45 | Jogo: Lille OSC vs Paris FC
Campeonato: French Ligue 1 2025/26 | Rodada 14 | Data: 2025-11-28 | Horário: 20:45 | Jogo: FC Metz vs Stade Rennais FC 1901
Campeonato: French Ligue 1 2025/26 | Rodada 14 | Data: 2025-11-29 | Horário: 17:00 | Jogo: AS Monaco FC vs Paris Saint-Germain FC
Campeonato: French Ligue 1 2025/26 | Rodada 14 | Data: 2025-11-29 | Horário: 19:00 | Jogo: Paris FC vs AJ Auxerre
Campeonato: French Ligue 1 2025/26 | Rodada 14 | Data: 2025-11-29 | Horário: 21:05 | Jogo: Olympique de Marseille vs Toulouse FC
Campeonato: French Ligue 1 2025/26 | Rodada 14 | Data: 2025-11-30 | Horário: 15:00 | Jogo: RC Strasbourg Alsace vs Stade Brestois 29
Campeonato: French Ligue 1 2025/26 | Rodada 14 | Data: 2025-11-30 | Horário: 17:15 | Jogo: Le Havre AC vs Lille OSC
Campeonato: French Ligue 1 2025/26 | Rodada 14 | Data: 2025-11-30 | Horário: 17:15 | Jogo: FC Lorient vs OGC Nice
Campeonato: French Ligue 1 2025/26 | Rodada 14 | Data: 2025-11-30 | Horário: 17:15 | Jogo: Angers SCO vs Racing Club de Lens
Campeonato: French Ligue 1 2025/26 | Rodada 14 | Data: 2025-11-30 | Horário: 20:45 | Jogo: Olympique Lyonnais vs FC Nantes
Campeonato: French Ligue 1 2025/26 | Rodada 15 | Data: 2025-12-05 | Horário: 19:00 | Jogo: Stade Brestois 29 vs AS Monaco FC
Campeonato: French Ligue 1 2025/26 | Rodada 15 | Data: 2025-12-05 | Horário: 21:00 | Jogo: Lille OSC vs Olympique de Marseille
Campeonato: French Ligue 1 2025/26 | Rodada 15 | Data: 2025-12-06 | Horário: 17:00 | Jogo: FC Nantes vs Racing Club de Lens
Campeonato: French Ligue 1 2025/26 | Rodada 15 | Data: 2025-12-06 | Horário: 19:00 | Jogo: Toulouse FC vs RC Strasbourg Alsace
Campeonato: French Ligue 1 2025/26 | Rodada 15 | Data: 2025-12-06 | Horário: 21:05 | Jogo: Paris Saint-Germain FC vs Stade Rennais FC 1901
Campeonato: French Ligue 1 2025/26 | Rodada 15 | Data: 2025-12-07 | Horário: 15:00 | Jogo: OGC Nice vs Angers SCO
Campeonato: French Ligue 1 2025/26 | Rodada 15 | Data: 2025-12-07 | Horário: 17:15 | Jogo: Le Havre AC vs Paris FC
Campeonato: French Ligue 1 2025/26 | Rodada 15 | Data: 2025-12-07 | Horário: 17:15 | Jogo: AJ Auxerre vs FC Metz
Campeonato: French Ligue 1 2025/26 | Rodada 15 | Data: 2025-12-07 | Horário: 20:45 | Jogo: FC Lorient vs Olympique Lyonnais
Campeonato: French Ligue 1 2025/26 | Rodada 16 | Data: 2025-12-12 | Horário: 20:45 | Jogo: Angers SCO vs FC Nantes
Campeonato: French Ligue 1 2025/26 | Rodada 16 | Data: 2025-12-13 | Horário: 17:00 | Jogo: Stade Rennais FC 1901 vs Stade Brestois 29
Campeonato: French Ligue 1 2025/26 | Rodada 16 | Data: 2025-12-13 | Horário: 19:00 | Jogo: FC Metz vs Paris Saint-Germain FC
Campeonato: French Ligue 1 2025/26 | Rodada 16 | Data: 2025-12-13 | Horário: 21:05 | Jogo: Paris FC vs Toulouse FC
Campeonato: French Ligue 1 2025/26 | Rodada 16 | Data: 2025-12-14 | Horário: 15:00 | Jogo: Olympique Lyonnais vs Le Havre AC
